dtxsid,smiles
DTXSID0022727,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C(=O)CCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C(=O)CCC1(C)C
DTXSID0022800,NS(=O)(=O)C1=CC2=C(C=C1Cl)N=CNS2(=O)=O
DTXSID0022854,ClC1=CC2=C(NC(=O)CN3CCOC23C2=C(Cl)C=CC=C2)C=C1
DTXSID0022850,CC(C)(N)CC1=CC=CC=C1Cl
DTXSID0022858,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DTXSID0022933,[H][C@@]1(C[C@H](O)[C@H](O[C@@]2([H])C[C@H](O)[C@H](O[C@@]3([H])C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@]([H])(CC[C@]3([H])[C@]2([H])CC[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1
DTXSID0022808,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2
DTXSID0022981,CCOC1=C(C=NN(C)C1=O)N1CCOCC1
DTXSID0022935,NNC1=C2C=CC=CC2=C(NN)N=N1
DTXSID0023030,CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl
DTXSID0023032,CN1C2=C(N(CCOC(=O)C(C)(C)OC3=CC=C(Cl)C=C3)C=N2)C(=O)N(C)C1=O
DTXSID0023036,CCOC(=O)\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)C(C)=C(OC)C=C1C
DTXSID0023084,CC(N(CC1=C(N)N=C(C)N=C1)C=O)=C(CCO)SSCC1CCCO1
DTXSID0023038,CC(=O)OCC(CCN1C=NC2=C1N=C(N)N=C2)COC(C)=O
DTXSID0023088,OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C=O
DTXSID0023113,COC1=C(O)C=CC=C1
DTXSID0023163,COCC(=O)NC1=C(I)C(C(=O)NCC(O)CO)=C(I)C(C(=O)N(C)CC(O)CO)=C1I
DTXSID0023169,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1
DTXSID0023240,CNC1(C)C2CCC(C2)C1(C)C
DTXSID0023244,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
DTXSID0023292,CNC(C)CC1=CC=CC=C1OC
DTXSID0023294,CO[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@H](CC[C@]65O)C5=CC(=O)OC5)C4)O[C@@H]3C)O[C@@H]2C)O[C@@H]1C
DTXSID0023296,[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1
DTXSID0023323,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
DTXSID0023298,CC1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1
DTXSID0023325,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1
DTXSID0023371,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C
DTXSID0023329,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
DTXSID0023458,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1
DTXSID0023377,CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1
DTXSID0023373,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC
DTXSID0023581,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC
DTXSID0023533,NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1
DTXSID0023587,FC1=CC2=C(OCC[C@]22NC(=O)NC2=O)C=C1
DTXSID0023589,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
DTXSID0023612,CC1=CC=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1
DTXSID0023616,COC1=NC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1
DTXSID0023618,O=C1C(CCS(=O)C2=CC=CC=C2)C(=O)N(N1C1=CC=CC=C1)C1=CC=CC=C1
DTXSID0023660,CCN(CC)CCSC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
DTXSID0023743,OC(=O)C1=CC=CN=C1.CN(CCO)CC(O)CN1C=NC2=C1C(=O)N(C)C(=O)N2C
DTXSID0023747,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1
DTXSID0023745,OC[C@@H](O)[C@H](O)[C@@H](O)C=O
DTXSID0023749,CC(=O)N[C@@H]1[C@@H](NC(N)=N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O
DTXSID0023826,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
DTXSID0023870,NC1=CC=NC=C1
DTXSID0023901,CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2
DTXSID0023878,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1
DTXSID0023909,C1=CC2=CC3=C(C=C2C=C1)C1=C2C3=CC=CC2=CC=C1
DTXSID0023907,C1=CC=C2C(=C1)C1=CC=CC3=C4C=CC=CC4=CC2=C13
DTXSID0023951,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1
DTXSID0023955,CCOC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(Cl)=N1
DTXSID0024000,COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl
DTXSID0024002,CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
DTXSID0024052,CC1=C(C)S(=O)(=O)CCS1(=O)=O
DTXSID0024183,COC(=O)C=C
DTXSID0024185,COC(Cl)=O
DTXSID0024266,CCN(CC)C1=NC(OP(=S)(OC)OC)=CC(C)=N1
DTXSID0024216,ClC1=CC=CC(=N1)C(Cl)(Cl)Cl
DTXSID0024341,"C*.O=C=NC1=CC(=CC=C1)N=C=O |c:6,8,t:4,lp:2:2,4:1,11:1,13:2,m:1:9.8.6|"
DTXSID0024345,COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(OCCCl)C=CC=C2)=N1
DTXSID0024395,CC(=O)OC(C)=O
DTXSID0024397,CC(=O)CC(=O)NC1=CC=CC=C1
DTXSID0024399,CC(O)C(C)=O
DTXSID0024470,NC1=NC2=C(S1)C=CC=C2Cl
DTXSID0024474,NC1=CC(Cl)=CC(=C1O)S(O)(=O)=O
DTXSID0024478,CC1=CC2=C(C=C1C)N=C(N)S2
DTXSID0024501,CC1=C(C2=C(C=C1)N=C(S2)C1=CC=C(N)C=C1)S(O)(=O)=O
DTXSID0024503,O.Br.NC1=NC(=CS1)C1=CC=CC=C1
DTXSID0024505,NC1=CC=CC=N1
DTXSID0024507,NC1=CC(=C(O)C(=C1)C(O)=O)S(O)(=O)=O
DTXSID0024509,NC1=NC(CC(O)=O)=CS1
DTXSID0024553,NC(=O)N=NC(N)=O
DTXSID0024555,O=N(=NC1=CC=CC=C1)C1=CC=CC=C1
DTXSID0024559,Cl.NC1=CC=C(N=NC2=CC=CC=C2)C(N)=C1
DTXSID0024638,BrC1=C(C=CC=C1)C1=CC=CC=C1
DTXSID0024715,[O--].[Cd++]
DTXSID0024761,NC1=CC(Cl)=CC=C1
DTXSID0024840,[Co].c1cccc1.c1cccc1
DTXSID0024890,CC1=CC=C(C=C1)C(C)(C)O
DTXSID0024896,C[NH2+]C.[O-]C(=O)COC1=C(Cl)C=C(Cl)C=C1
DTXSID0024923,N\C(C#N)=C(/N)C#N
DTXSID0024921,NC1CCC(CC2CCC(N)CC2)CC1
