aeid,assay_name
571,NVS_ENZ_hTie2
573,NVS_ENZ_hTrkA
575,NVS_ENZ_hVEGFR1
577,NVS_ENZ_hVEGFR2
579,NVS_ENZ_hVEGFR3
581,NVS_ENZ_hZAP70
583,NVS_ENZ_oCOX1
585,NVS_ENZ_oCOX2
587,NVS_ENZ_pMTHFR
589,NVS_ENZ_rabI2C
591,NVS_ENZ_rACFSKBinding
593,NVS_ENZ_rAChE
595,NVS_ENZ_rCNOS
597,NVS_ENZ_rCOMT
599,NVS_ENZ_hDYRK1a
601,NVS_ENZ_rMAOAC
603,NVS_ENZ_rMAOAP
605,NVS_ENZ_rMAOBC
607,NVS_ENZ_rMAOBP
609,NVS_GPCR_bAdoR_NonSelective
610,NVS_GPCR_bAT2
611,NVS_GPCR_bDR_NonSelective
612,NVS_GPCR_bH1
613,NVS_GPCR_bNPY_NonSelective
614,NVS_GPCR_g5HT4
615,NVS_GPCR_gANPA
616,NVS_GPCR_gBK2
617,NVS_GPCR_gH2
618,NVS_GPCR_gLTB4
619,NVS_GPCR_gLTD4
620,NVS_GPCR_gMPeripheral_NonSelective
621,NVS_GPCR_gOpiateK
622,NVS_GPCR_h5HT2A
623,NVS_GPCR_h5HT5A
624,NVS_GPCR_h5HT6
625,NVS_GPCR_h5HT7
626,NVS_GPCR_hAdoRA1
627,NVS_GPCR_hAdoRA2a
628,NVS_GPCR_hAdra2A
629,NVS_GPCR_hAdra2C
630,NVS_GPCR_hAdrb1
631,NVS_GPCR_hAdrb2
632,NVS_GPCR_hAdrb3
633,NVS_GPCR_hAT1
634,NVS_GPCR_hC5a
635,NVS_GPCR_hDRD1
636,NVS_GPCR_hDRD2s
637,NVS_GPCR_hDRD4.4
638,NVS_GPCR_hETA
639,NVS_GPCR_hETB
640,NVS_GPCR_hH1
641,NVS_GPCR_hLTB4_BLT1
642,NVS_GPCR_hM1
643,NVS_GPCR_hM2
644,NVS_GPCR_hM3
645,NVS_GPCR_hM4
646,NVS_GPCR_hM5
647,NVS_GPCR_hNK2
648,NVS_GPCR_hNPY1
649,NVS_GPCR_hNPY2
650,NVS_GPCR_hNTS
651,NVS_GPCR_hOpiate_D1
652,NVS_GPCR_hOpiate_mu
653,NVS_GPCR_hORL1
654,NVS_GPCR_hPY2
655,NVS_GPCR_hTXA2
656,NVS_GPCR_hV1A
657,NVS_GPCR_mCCKAPeripheral
658,NVS_GPCR_mCKKBCentral
659,NVS_GPCR_p5HT2C
660,NVS_GPCR_r5HT_NonSelective
661,NVS_GPCR_r5HT1_NonSelective
662,NVS_GPCR_rabPAF
663,NVS_GPCR_rAdra1_NonSelective
664,NVS_GPCR_rAdra1A
665,NVS_GPCR_rAdra1B
666,NVS_GPCR_rAdra2_NonSelective
667,NVS_GPCR_rAdrb_NonSelective
668,NVS_GPCR_rCRF
669,NVS_GPCR_rGABBR
670,NVS_GPCR_rGalanin
671,NVS_GPCR_rGHB
672,NVS_GPCR_rH3
673,NVS_GPCR_rmAdra2B
674,NVS_GPCR_rmMGluR1
675,NVS_GPCR_rmMGluR5
676,NVS_GPCR_rNK1
677,NVS_GPCR_rNK3
678,NVS_GPCR_rNTS
679,NVS_GPCR_rOpiate_NonSelective
680,NVS_GPCR_rOpiate_NonSelectiveNa
681,NVS_GPCR_rOXT
682,NVS_GPCR_rSST
683,NVS_GPCR_rTRH
684,NVS_GPCR_rV1
685,NVS_GPCR_rVIP_NonSelective
686,NVS_IC_hKhERGCh
687,NVS_IC_rCaBTZCHL
688,NVS_IC_rCaChN
689,NVS_IC_rCaDHPRCh_L
690,NVS_IC_rKAR
691,NVS_IC_rKATPCh
692,NVS_IC_rKCaCh
693,NVS_IC_rNaCh_site2
694,NVS_LGIC_bGABAR_Agonist
695,NVS_LGIC_bGABARa1
696,NVS_LGIC_bGABARa5
697,NVS_LGIC_h5HT3
698,NVS_LGIC_hNNR_NBungSens
699,NVS_LGIC_rAMPA
700,NVS_LGIC_rGABAR_NonSelective
701,NVS_LGIC_rGABARa6
702,NVS_LGIC_rGluNMDA_Agonist
703,NVS_LGIC_rGluNMDA_MK801_Agonist
704,NVS_LGIC_rGlyRStrySens
705,NVS_LGIC_rNNR_BungSens
706,NVS_MP_hPBR
707,NVS_MP_rPBR
708,NVS_NR_bER
709,NVS_NR_bPR
710,NVS_NR_cAR
711,NVS_NR_hAR
712,NVS_NR_hCAR_Agonist
713,NVS_NR_hCAR_Antagonist
714,NVS_NR_hER
715,NVS_NR_hFXR_Agonist
716,NVS_NR_hFXR_Antagonist
717,NVS_NR_hGR
718,NVS_NR_hPPARa
719,NVS_NR_hPPARg
720,NVS_NR_hPR
721,NVS_NR_hPXR
722,NVS_NR_hRAR_Antagonist
723,NVS_NR_hRARa_Agonist
724,NVS_NR_hTRa_Antagonist
725,NVS_NR_mERa
726,NVS_NR_rAR
727,NVS_NR_rMR
728,NVS_OR_gSIGMA_NonSelective
729,NVS_OR_hFKBP12
730,NVS_TR_gDAT
731,NVS_TR_hAdoT
732,NVS_TR_hDAT
733,NVS_TR_hNET
734,NVS_TR_hSERT
735,NVS_TR_rAdoT
736,NVS_TR_rNET
737,NVS_TR_rSERT
738,NVS_TR_rVMAT2
